,sents
8464," Matt Targett then blocked Jack Cork's goal-bound shot on the line before Cornet squandered two chances in the dying stages, heading straight at Dubravka, as Burnley's fightback came up short"
8465,"With their season hanging in the balance, Burnley caretaker Jackson threw caution to the wind, replacing defender Connor Roberts with striker Weghorst at the interval, but the nerves persisted, with Collins nearly putting through his own net in addition to his costly handball"
8466,News of Sergi Canos' equaliser for Brentford against Leeds was greeted with a flurry of chances but Weghorst could only steer Ashley Barnes' cross agonisingly wide on the stretch
8467,"Dwight McNeil fired a speculative shot harmlessly over before forcing a routine save from Newcastle goalkeeper Martin Dubravka on the stroke of half-time, as Burnley mustered just a single attempt on target in an underwhelming first half"
8468,"Cornet gave Burnley hope nine minutes later when he rifled in a volley at the second attempt after Dubravka had saved his first shot, and with hopes rekindled, the Clarets laid siege to the Newcastle goal in search of a season-salvaging equaliser"
8469,The Foxes were well on top when Wesley Fofana made a breakout pass to Harvey Barnes from inside his own box
8470,The Foxes were well on top when Wesley Fofana made a breakout pass to Harvey Barnes from inside his own box
8471," Barnes broke down the left flank and looked to switch play towards Maddison - but Vardy intercepted, cut inside, composed himself and smashed it low past McCarthy's right-hand side"
8472,"Despite this, Leicester had the lion's share of quality chances with Jamie Vardy, uncharacteristically, spurning several clear opportunities, almost pouncing on Alex McCarthy dawdling on the ball and failing to connect cleanly with a Timothy Castagne cross"
8473,"However, the deadlock was broken from a route-one long ball from Kasper Schmeichel, but was equally created by calamitous defending from Lyanco - who headed the clearance skyward before attempting to head it back to McCarthy - but the pass fell straight to Vardy, whose rebounded shot landed at the feet of in-form Maddison to cooly finish"
8474,"However, the deadlock was broken from a route-one long ball from Kasper Schmeichel, but was equally created by calamitous defending from Lyanco - who headed the clearance skyward before attempting to head it back to McCarthy - but the pass fell straight to Vardy, whose rebounded shot landed at the feet of in-form Maddison to cooly finish"
8475,"Southampton were handed a lifeline five minutes later when James Ward-Prowse converted a penalty, but the one-goal deficit lasted merely a minute"
8476,The goal silenced the home fans but Chelsea continued to dominate possession and territory and went close to equalising a few minutes later when a powerful long-range effort from Trevoh Chalobah was acrobatically saved by Schmeichel
8477,"By the end, only centre-backs Thiago Silva and Trevoh Chalobah had had more touches than James (124) while nobody came close to his total of 38 passes in the final third"
8478,"Antonio Rudiger was next to go close as he fired a low effort too close to Schmeichel, and the centre-back was perhaps fortunate to stay on the pitch when he was only booked for lunging in on Wesley Fofana a few minutes later"
8479,"Thomas Tuchel raved about N'Golo Kante as Chelsea's ""key player"" in his post-match press conference but in truth, nobody is more crucial than James, a young right-back so good he can even do it in central midfield"
8480,"Christian Pulisic spurned their best chance, missing an open goal from a Romelu Lukaku centre in the second half, and while the draw puts them three points clear of Tottenham, all but clinching third thanks to their vastly superior goal difference, it was a disappointing result for Thomas Tuchel and his players"
8481,The 22-year-old ostensibly lined up in in his usual role at right wing-back but he was running the game even before he was moved into the middle following Cesar Azpilicueta's introduction for Christian Pulisic in the second half
8482,Chelsea started brightly and went close to opening the scoring after four minutes when Hakim Ziyech span away from Daniel Amartey and fired a long-range effort just past the post
8483,"Lukaku, who endured another frustrating evening following his poor showing in Saturday's FA Cup final, headed narrowly wide from a Ziyech cross when he should have hit the target"
8484,"Christian Pulisic spurned their best chance, missing an open goal from a Romelu Lukaku centre in the second half, and while the draw puts them three points clear of Tottenham, all but clinching third thanks to their vastly superior goal difference, it was a disappointing result for Thomas Tuchel and his players"
8485,"Pulisic's miss, his scuffed shot rolling wide with the goal gaping after Lukaku had been played in on the right-hand side of the Leicester box, came moments later and caused disbelief among the home supporters"
8486,"Chelsea continued to push for a winner in the closing stages but Leicester, led by the excellent Jonny Evans in the heart of their back three, held firm and the hosts' miserable night in front of goal was summed up by a Kai Havertz air-shot in the closing stages"
8487,"But it was Palace that posed the bigger threat on the break, making the most of some slack passing by United, with Zaha and Jeffrey Schlupp both seeing close-range efforts kept out by De Gea"
8488,"Eventually, Zaha found a breakthrough less than 10 minutes before the break - after Fernandes recklessly lost possession in his own half - as he cut across Diogo Dalot and Victor Lindelof on the edge of the box before coolly finishing with a low-effort in the bottom left corner"
8489,"Eventually, Zaha found a breakthrough less than 10 minutes before the break - after Fernandes recklessly lost possession in his own half - as he cut across Diogo Dalot and Victor Lindelof on the edge of the box before coolly finishing with a low-effort in the bottom left corner"
8490,"United improved slightly in the second half, with teenage midfielder Hannibal Mejbri - making his full Premier League debut - providing a few bright moments"
8491,Palace defender Joel Ward produced a fine last-ditch challenge to deny Mejbri a goalscoring opportunity from six yards out before the 19-year-old forced Guaita into a save with an effort from the edge of the area
8492,"Fernandes also had a chance of his own when Anthony Elanga tried to find him at the back post with a low cross after a surging run from halfway, only for the midfielder to miss the ball by a yard"
